country_code,country_name,parent_handle,parent_title,option_names,variant_label,variant_sku,retail_price,compare_at_price,catalog_handle
ES,España,cadena-franco-hombre4mm,Cadena Franco Hombre,Medida,6mm/65cm,43200,70.0,95.0,cadena-franco-hombre4mm--6mm-65cm
ES,España,cadena-grabada-hombre,Cadena Grabada Hombre,Medida,4mm/65cm,41189,60.0,80.0,cadena-grabada-hombre--4mm-65cm
ES,España,cadena-grabada-hombre,Cadena Grabada Hombre,Medida,6mm/65cm,41200,70.0,95.0,cadena-grabada-hombre--6mm-65cm
ES,España,cadena-grabada-hombre,Cadena Grabada Hombre,Medida,8mm/65cm,41220,80.0,109.0,cadena-grabada-hombre--8mm-65cm
ES,España,cadena-granocafe-hombre,Cadena Grano de Café Hombre,Medida,6mm/65cm,42900,80.0,109.0,cadena-granocafe-hombre--6mm-65cm
ES,España,cadena-granocafe-hombre,Cadena Grano de Café Hombre,Medida,7mm/65cm,42925,85.0,115.0,cadena-granocafe-hombre--7mm-65cm
ES,España,cadena-lazo-hombre,Cadena Lazo Hombre,Medida,4mm/65cm,42788,60.0,80.0,cadena-lazo-hombre--4mm-65cm
ES,España,cadena-lazo-hombre,Cadena Lazo Hombre,Medida,6mm/65cm,42800,70.0,95.0,cadena-lazo-hombre--6mm-65cm
ES,España,cadena-lazo-hombre,Cadena Lazo Hombre,Medida,8mm/65cm,42800,80.0,109.0,cadena-lazo-hombre--8mm-65cm
ES,España,cadena-lazo-mujer2mm,Cadena Lazo Mujer 2mm,Medida,2mm/45cm,42782,45.0,60.0,cadena-lazo-mujer2mm--2mm-45cm
ES,España,cadena-lazo-mujer2mm,Cadena Lazo Mujer 2mm,Medida,3mm/45cm,42787,49.0,65.0,cadena-lazo-mujer2mm--3mm-45cm
ES,España,cadena-militar-mujer-2mm,Cadena Militar Mujer 2mm,Medida,2mm/45cm,43113,45.0,55.0,cadena-militar-mujer-2mm--2mm-45cm
ES,España,cadena-militar-mujer-2mm,Cadena Militar Mujer 2mm,Medida,3mm/45cm,43115,48.0,55.0,cadena-militar-mujer-2mm--3mm-45cm
ES,España,cadena-rustica-hombre,Cadena Rustica Hombre,Medida,4mm/65cmm,42598,70.0,115.0,cadena-rustica-hombre--4mm-65cmm
ES,España,cadena-rustica-hombre,Cadena Rustica Hombre,Medida,6mm/65cm,42600,80.0,130.0,cadena-rustica-hombre--6mm-65cm
ES,España,cadena-serpiente-hombre,Cadena Serpiente Hombre,Medida,4mm/65cm,42287,60.0,80.0,cadena-serpiente-hombre--4mm-65cm
ES,España,cadena-serpiente-hombre,Cadena Serpiente Hombre,Medida,6mm/65vm,42300,70.0,95.0,cadena-serpiente-hombre--6mm-65vm
ES,España,cadena-serpiente-hombre,Cadena Serpiente Hombre,Medida,8mm/65cm,42320,80.0,109.0,cadena-serpiente-hombre--8mm-65cm
ES,España,cadena-veneciana-hombre,Cadena Veneciana Hombre,Medida,3mm/65cm,42693,55.0,75.0,cadena-veneciana-hombre--3mm-65cm
