pais,codigo,titulo_tienda,sku_tienda,handle,precio_retail_tienda,motivo,sugerencia_excel_nombre,sugerencia_excel_sku,sugerencia_parecido,sugerencia_mayorista_excel
ECUADOR,EC,Dije Cruz Mediana Circonias,23000,dije-cruz-mediana-circonias,39.0,sku_no_en_excel,D. CRUZ CIRCONIAS,25481,0.75,31.8
ECUADOR,EC,Dije Cruz Rostro,23044,dije-cruz-rostro,49.0,sku_no_en_excel,D. ROSTRO GRANDE,24557,0.5,28.800000000000004
ECUADOR,EC,Dije Cruz Sagrada,230352,24441,59.0,sku_no_en_excel,D. CRUZ PIEDRAS,25221,0.5,35.8
ECUADOR,EC,Dije Cruz Sagrada Verde,23035,copia-de-dije-corazon-con-piedras,49.0,sku_no_en_excel,D. CRUZ PIEDRAS,25221,0.4,35.8
ECUADOR,EC,Dije Cruz San Benito,23258,dije-cruz-san-benito,49.0,sku_no_en_excel,D. CRUZ PIEDRAS,25221,0.4,35.8
ECUADOR,EC,Dije Cruz Toreto,23056,dije-cruz-toreto,49.0,sku_no_en_excel,D. CRUZ PIEDRAS,25221,0.5,35.8
ECUADOR,EC,Dije Guadalupe Tallada,24550,24853,29.0,sku_no_en_excel,D. VIRGEN TALLADA,26062,0.5,24.4
ECUADOR,EC,Dije Madero Grande,23294,dije-madero-grande,49.0,sku_no_en_excel,D. ROSTRO GRANDE,24557,0.5,28.800000000000004
ECUADOR,EC,Dije Salmo,23481,dije-salmo,34.0,sku_no_en_excel,D. LEON,26787,0.33,36.6
ECUADOR,EC,Dije San Benito Redondo,24476,copia-de-dije-cristo-3d,29.0,sku_no_en_excel,D. LEON,26787,0.2,36.6
ECUADOR,EC,Dije Virgen Swarovski Cristal,22147,copia-de-dije-virgen-del-carmen,70.0,sku_no_en_excel,D. VIRGEN TALLADA,26062,0.4,24.4
ECUADOR,EC,Pulsera Balín 7 Nudos,1051,pulsera-balin-7-nudos,62.0,sku_no_en_excel,P. GRABADA   4mm  20cm,51189,0.14,18.599999999999998
ECUADOR,EC,Pulsera Balín Diamantada,1067,pulsera-balin-diamantada-6-copia,65.0,sku_no_en_excel,P. GRABADA   4mm  20cm,51189,0.17,18.599999999999998
ECUADOR,EC,Pulsera Balín Diamantada #6,1007,pulsera-balin-diamantada-6,65.0,sku_no_en_excel,P. GRABADA   4mm  20cm,51189,0.14,18.599999999999998
ECUADOR,EC,Pulsera Balín Diamantada #8,1065,pulsera-balin-diamantada,66.0,sku_no_en_excel,P. GRABADA   4mm  20cm,51189,0.14,18.599999999999998
ECUADOR,EC,Pulsera Cartier Mujer,54261,pulsera-cartier-mujer,34.0,sku_no_en_excel,P. CARTIER 3mm  18cm,52490,0.4,19.900000000000002
ECUADOR,EC,Pulsera Cilindros Hombre,53260,pulsera-cilindros-hombre,39.0,sku_no_en_excel,P. CILINDROS 3mm  18cm,53616,0.4,14.814285714285711
ECUADOR,EC,Pulsera Cubana Diamantada,54417,54461,50.0,sku_no_en_excel,P. CUBANA 3mm  18cm,52387,0.4,22.1
ECUADOR,EC,Pulsera Cubana Mujer,54286,pulsera-cubana-mujer,34.0,sku_no_en_excel,P. CUBANA 3mm  18cm,52387,0.4,22.1
ECUADOR,EC,Pulsera Escalera Plana 4mm,54936,pulsera-tenis-3mm-copia,49.0,sku_no_en_excel,P. GRABADA   4mm  20cm,51189,0.33,18.599999999999998
ECUADOR,EC,Pulsera San Benito Protector,(vacío),pulsera-san-benito-protector,47.0,sin_sku,P. GRABADA   4mm  20cm,51189,0.14,18.599999999999998
